Tempo_s,Valor
0,0
0.065221999000002,0
0.130572000000001,0
0.195669000000002,0
0.260894999000001,0
0.326115999000002,0
0.391365,0
0.456570999,0
0.521799000000001,0
0.587012000000001,0
0.652310999000001,0
0.717461999000001,0
0.782680999,0
0.847904,0
0.913128,0
0.978352000000001,0
1.043773,0
1.108793999,0
1.174023999,0
1.239244,0
1.304468,0
1.369729999,0
1.434930999,0
1.500124999,0
1.565430999,0
1.630572,0
1.69581,0
1.76102,0
1.826262,0
1.891469,0
1.956705999,0
2.021914,0
2.087193999,0
2.152361,0
2.217599,0
2.282807999,0
2.348069,0
2.413254,0
2.478782,0
2.543717,0
2.608939,0
2.674163,0
2.739387,0
2.804713,0
2.869836,0
2.935082,0
3.000282999,0
3.065503999,0
3.130727999,0
3.196073999,0
3.261175,0
3.326399,0
3.391621999,0
3.456845,0
3.522106999,0
3.587293,0
3.652530999,0
3.717788999,0
3.782963,0
3.848188,0
3.913534999,0
3.978634,0
4.043856999,0
4.109161,0
4.174321999,0
4.239528,0
4.304752,0
4.369976999,0
4.4352,0
4.500420999,0
4.565666,0
4.630919999,0
4.696094,0
4.761316,0
4.826574999,0
4.891762999,0
4.957147,0
5.022351,0
5.087454,0
5.152656999,0
5.217880999,0
5.283338,0
5.348362,0
5.413564,0
5.478774,0
5.544010999,0
5.609262999,0
5.674444999,0
5.739786,0
5.804893999,0
5.870120999,0
5.935339999,0
6.000563,0
6.065818999,0
6.131009999,0
6.196258,0
6.261479,0
6.326695999,0
6.391903999,0
6.457206999,0
6.522351999,0
6.587575,0
6.652799,0
6.718021999,0
6.783285,0
6.848469,0
6.913685999,0
6.978921,0
7.044123999,0
7.109415999,0
7.174633999,0
7.239809999,0
7.305019999,0
7.370291,0
7.435465999,0
7.500743,0
7.566162999,0
7.631154,0
7.696360999,0
7.761598,0
7.826811,0
7.892133,0
7.957254999,-0
8.022492999,-0
8.08786,-0
8.15294,-0
8.218148,-0
8.283386999,-0
8.348615,-0
8.413834,-0
8.479056999,-0
8.544382999,-0
8.609544,-0
8.674729,-0
8.739950999,-0
8.805182,-0
8.870568999,-0
8.935637,-0
9.000966999,-0
9.066071999,-0
9.131293,-0
9.196517,-0
9.26178,-0
9.326963,-0
9.3924,-0
9.457409999,-0
9.522638,-0
9.58787,-0
9.653109,-0
9.718396999,-0
9.783527999,-0
9.848751999,-0
9.913975,-0.000382067286409438
9.979197999,0.00125347170978785
10.044421999,0.00644851941615343
10.109977,0.0111327646300197
10.174872999,0.01446233689785
10.240113,0.0118983751162887
10.305315999,0.00833815429359674
10.370539999,0.000581758969929069
10.435764999,-0.0021071236114949
10.500985999,-0.00509269768372178
10.566212,-0.00666566425934434
10.631433999,-0.0112287467345595
10.696657,-0.0134641285985708
10.762417,-0.0155861461535096
10.827227,-0.0185368619859219
10.892331999,-0.0185368619859219
10.957563999,-0.0226919911801815
11.022776,-0.0221147164702415
11.088538,-0.0228775423020124
11.153267999,-0.0227454174309969
11.218446,-0.0215466022491455
11.283654999,-0.0171470027416945
11.348903,-0.014863639138639
11.414460999,-0.0131921088322997
11.479366999,-0.0102173034101725
11.544691999,-0.0096001923084259
11.609789,-0.00527747254818678
11.67501,-0.00230814306996763
11.740493999,0.000742481381166726
11.805506,0.00155606318730861
11.870747,0.00303914817050099
11.935904999,0.00452373502776027
