Tempo_s,Valor
0,0
0.065221999000002,0
0.130572000000001,0
0.195669000000002,0
0.260894999000001,0
0.326115999000002,0
0.391365,0
0.456570999,0
0.521799000000001,0
0.587012000000001,0
0.652310999000001,0
0.717461999000001,0
0.782680999,0
0.847904,0
0.913128,0
0.978352000000001,0
1.043773,0
1.108793999,0
1.174023999,0
1.239244,0
1.304468,0
1.369729999,0
1.434930999,0
1.500124999,0
1.565430999,0
1.630572,0
1.69581,0
1.76102,0
1.826262,0
1.891469,0
1.956705999,0
2.021914,0
2.087193999,0
2.152361,0
2.217599,0
2.282807999,0
2.348069,0
2.413254,0
2.478782,0
2.543717,0
2.608939,0
2.674163,0
2.739387,0
2.804713,0
2.869836,0
2.935082,0
3.000282999,0
3.065503999,0
3.130727999,0
3.196073999,5.08921220898628e-06
3.261175,0
3.326399,0
3.391621999,0
3.456845,0
3.522106999,0
3.587293,0
3.652530999,0
3.717788999,0
3.782963,0
3.848188,-6.64401159156114e-06
3.913534999,0
3.978634,0
4.043856999,-0.000502835842780769
4.109161,0
4.174321999,0
4.239528,0
4.304752,0
4.369976999,0
4.4352,0
4.500420999,0
4.565666,-2.03136587515473e-05
4.630919999,0
4.696094,0
4.761316,0
4.826574999,0
4.891762999,1.30129046738148e-06
4.957147,0
5.022351,0
5.087454,0
5.152656999,0
5.217880999,0
5.283338,0
5.348362,0
5.413564,0
5.478774,0
5.544010999,0
5.609262999,0
5.674444999,0
5.739786,0
5.804893999,0
5.870120999,0
5.935339999,0
6.000563,0
6.065818999,0
6.131009999,0
6.196258,0
6.261479,0
6.326695999,0
6.391903999,0
6.457206999,0
6.522351999,0
6.587575,0
6.652799,0
6.718021999,0
6.783285,0
6.848469,0
6.913685999,-2.04518437385559e-06
6.978921,0
7.044123999,0
7.109415999,0
7.174633999,0
7.239809999,0
7.305019999,0
7.370291,0
7.435465999,0
7.500743,0
7.566162999,0
7.631154,0
7.696360999,0
7.761598,0
7.826811,0
7.892133,0
7.957254999,-0.00272499164566398
8.022492999,-0.00299950782209635
8.08786,-0.00283783418126404
8.15294,-0.00287927710451186
8.218148,-0.00293140765279531
8.283386999,-0.00297261984087527
8.348615,-0.00300573813728988
8.413834,-0.00307771586813033
8.479056999,-0.0030034224037081
8.544382999,-0.00312161748297513
8.609544,-0.00307586346752942
8.674729,-0.00313828513026237
8.739950999,-0.0031819217838347
8.805182,-0.003153809113428
8.870568999,-0.00315352994948626
8.935637,-0.00318190339021385
9.000966999,-0.00325270649045706
9.066071999,-0.0031302678398788
9.131293,-0.00321519398130476
9.196517,-0.00324915489181876
9.26178,-0.00332157337106764
9.326963,-0.00340218655765057
9.3924,-0.00350928190164268
9.457409999,-0.00351308542303741
9.522638,-0.00363480765372515
9.58787,-0.00379152735695243
9.653109,-0.00381121132522821
9.718396999,-0.00389034696854651
9.783527999,-0.00389474630355835
9.848751999,-0.00395113788545132
9.913975,-0.00370909785851836
9.979197999,-0.00181918125599623
10.044421999,0.0085337832570076
10.109977,0.00973872467875481
10.174872999,0.0107285520061851
10.240113,0.0034866277128458
10.305315999,0.00453421473503113
10.370539999,0.0101649360731244
10.435764999,0.00979295000433922
10.500985999,0.0082365358248353
10.566212,0.00244145421311259
10.631433999,-0.00211043073795736
10.696657,-0.0067629343830049
10.762417,-0.00811980199068785
